model_name,score_kind,ask_filter,threshold,folds,trades,wins,pnl,pnl_1c,pnl_2c,win_rate,avg_ask
winprob_hgb,win_prob,ask_15_70,0.0,5,57,19,-5.0,-5.57,-6.140000000000001,0.3333333333333333,0.42105263157894735
winprob_logistic,win_prob,ask_15_70,0.06,5,27,9,-5.63,-5.9,-6.170000000000001,0.3333333333333333,0.5418518518518518
winprob_hgb,win_prob,ask_20_60,-0.02,5,52,16,-5.13,-5.65,-6.170000000000001,0.3076923076923077,0.4063461538461539
value_hgb,value_class,ask_15_70,0.55,5,57,23,-5.080000000000001,-5.65,-6.220000000000001,0.40350877192982454,0.4926315789473685
value_hgb,value_class,ask_20_60,0.62,5,43,15,-5.39,-5.82,-6.250000000000001,0.3488372093023256,0.47418604651162793
value_hgb,value_class,ask_15_70,0.58,5,55,22,-5.1800000000000015,-5.730000000000001,-6.280000000000001,0.4,0.49418181818181817
winprob_logistic,win_prob,ask_15_70,0.08,5,25,8,-5.8,-6.05,-6.300000000000001,0.32,0.552
winprob_hgb,win_prob,ask_20_50,0.08,5,47,12,-5.849999999999999,-6.319999999999999,-6.79,0.2553191489361702,0.37978723404255316
winprob_logistic,win_prob,ask_15_70,0.02,5,39,14,-6.04,-6.43,-6.820000000000001,0.358974358974359,0.5138461538461538
value_hgb,value_class,ask_15_70,0.52,5,57,22,-5.730000000000001,-6.300000000000001,-6.870000000000001,0.38596491228070173,0.48649122807017553
winprob_hgb,win_prob,ask_20_60,0.04,5,48,14,-6.05,-6.530000000000001,-7.010000000000001,0.2916666666666667,0.41770833333333335
value_hgb,value_class,ask_15_70,0.62,5,53,20,-6.050000000000002,-6.580000000000002,-7.110000000000002,0.37735849056603776,0.4915094339622642
winprob_hgb,win_prob,ask_20_50,0.1,5,46,11,-6.329999999999999,-6.789999999999999,-7.25,0.2391304347826087,0.3767391304347826
winprob_hgb,win_prob,ask_25_55,0.1,5,43,12,-6.48,-6.91,-7.340000000000001,0.27906976744186046,0.4297674418604651
winprob_hgb,win_prob,ask_15_70,0.08,5,55,17,-6.3,-6.85,-7.4,0.3090909090909091,0.42363636363636364
winprob_logistic,win_prob,ask_20_60,-0.02,5,41,12,-6.67,-7.08,-7.49,0.2926829268292683,0.45536585365853655
value_hgb,value_class,ask_15_70,0.5,5,57,21,-6.470000000000001,-7.040000000000001,-7.610000000000001,0.3684210526315789,0.4819298245614035
value_hgb,value_class,ask_20_60,0.65,5,40,12,-6.82,-7.220000000000001,-7.620000000000001,0.3,0.47050000000000003
value_hgb,value_class,ask_15_70,0.65,5,52,19,-6.640000000000001,-7.160000000000001,-7.6800000000000015,0.36538461538461536,0.4930769230769231
winprob_hgb,win_prob,ask_20_60,0.06,5,48,13,-6.779999999999999,-7.26,-7.74,0.2708333333333333,0.41208333333333336
winprob_hgb,win_prob,ask_25_55,0.08,5,43,12,-6.9399999999999995,-7.37,-7.800000000000001,0.27906976744186046,0.4404651162790698
value_hgb,value_class,ask_15_70,0.48,5,57,21,-6.700000000000001,-7.270000000000001,-7.840000000000001,0.3684210526315789,0.4859649122807018
winprob_hgb,win_prob,ask_15_70,-0.02,5,58,17,-7.05,-7.630000000000001,-8.21,0.29310344827586204,0.4146551724137931
winprob_logistic,win_prob,ask_15_70,-0.02,5,52,19,-7.44,-7.960000000000001,-8.48,0.36538461538461536,0.5084615384615384
winprob_hgb,win_prob,ask_20_60,0.1,5,48,12,-7.58,-8.06,-8.540000000000001,0.25,0.4079166666666667
winprob_hgb,win_prob,ask_15_70,0.1,5,55,16,-7.48,-8.030000000000001,-8.58,0.2909090909090909,0.4269090909090909
winprob_hgb,win_prob,ask_20_60,0.08,5,48,12,-8.12,-8.6,-9.08,0.25,0.4191666666666667
